1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45

1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
1 2 3 4
1 2 3 4
1 2 3 4
0.1 2 3 45
0.1 2 4 4
1 2 3 4
1 2 3 4
1 2 3 4
1 2 3 4
